id,images_list,name,color,price,desc,fit,fabircation,num_reviews
1,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Torrent Overshirt,Navy,$138,"A must-have for transitional weather and every day. The Torrent Overshirt features a lightweight woven shell with a breathable jersey lining that’s perfect for layering on the go. Zippered front pockets, elastic cuffs and a relaxed fit seal the deal. Take it wherever you’re headed by layering it over a crew neck tee and a go-to pant.","
Oversized silhouette - size down for a closer, more snug fit
Model is 6’2” tall with 39” chest & 32” waist – he wears size M.
","
Lightweight woven lined with jersey fabric 
Zippered front pockets 
Elastic cuffs 
Odor resistant
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 4 Reviews 
2,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Torrent Overshirt,Gravel,$138,"A must-have for transitional weather and every day. The Torrent Overshirt features a lightweight woven shell with a breathable jersey lining that’s perfect for layering on the go. Zippered front pockets, elastic cuffs and a relaxed fit seal the deal. Take it wherever you’re headed by layering it over a crew neck tee and a go-to pant.","
Oversized silhouette - size down for a closer, more snug fit
Model is 6’2” tall with 39” chest & 32” waist – he wears size M.
","
Lightweight woven lined with jersey fabric 
Zippered front pockets 
Elastic cuffs 
Odor resistant
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 4 Reviews 
3,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Signature Overcoat,Core: Black,$238,"An elevated, slightly boxy statement done in street-ready, water-resistant ripstop woven fabric. The Signature Overcoat is a full length, wear-on-repeat look for all genders. It’s got that VIP-level cool factor.","
Straight, slightly boxy fit
Long-length, oversized silhouette hits at mid-thigh - size down for a closer, more snug fitModel is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Street-ready, water-resistant ripstop woven fabric
Zippered side pockets 
Button up placket
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron. Do not dry clean.
", 1 Review 
4,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Co-Op Bomber,Core,$158,"The Co-Op Bomber is the classic, street-smart layer you can always count on. It’s made from lightweight woven fabric designed for comfort and versatility, with a water-repellant finish that protects against the elements. Fully zipped up or open layered over a cool tee, this relaxed bomber fit is ideal for everyday wear.","
Relaxed fit & full zip
Hits at the hip
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Performance woven fabric for comfort & versatility
Ribbed cuffs & hems
Water-repellant finish
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 10 Reviews 
5,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Future Jacket,Black,$188,"The Future Jacket is just what you need to take you to & from all your plans, with on-point, vertical stitch detailing & a luxe, three-panel hood. Made from an epic, triple-layer memory woven fabric with a sleek nylon lining, this elevated, every-day staple features a bungee-closure hood, zippered front slash pockets & a clean finish. Layer up and get going.","
Slim, relaxed fit
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cool, triple-layer memory woven fabric
Forward vertical stitch detailing
Machine wash separately on cold, gentle cycle. Tumble dry low; low iron. Do not dry clean.
", 11 Reviews 
6,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Co-Op Bomber,Core: Black,$158,"The Co-Op Bomber is the classic, street-smart layer you can always count on. It’s made from lightweight woven fabric designed for comfort and versatility, with a water-repellant finish that protects against the elements. Fully zipped up or open layered over a cool tee, this relaxed bomber fit is ideal for everyday wear.","
Relaxed fit & full zip
Hits at the hip
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Performance woven fabric for comfort & versatility
Ribbed cuffs & hems
Water-repellant finish
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 10 Reviews 
7,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Repeat Running Jacket,Core,$138,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel.","
Regular fit
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cooling, lightweight ripstop
Vented back
3-Panel hood with bungee closure
Two pockets
Water resistant
", 38 Reviews 
8,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",VIP Blazer Trench,Athletic Heather Grey,$238,"You’ve reached VIP status. The VIP Blazer Trench is a full-length outerwear staple done in comfy, heavyweight fleece that keeps the core toasty in colder months. This blazer-inspired design features a single-button front opening, side-entry welt pockets and a relaxed fit meant for layering over other Alo essentials when hitting the streets.","
Drop-shoulder silhouette for oversized look — size down for a closer fit
Full-length with button front opening 
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Heavyweight fleece fabric 
Notched coat collar 
Single-button front opening 
Side-entry welt pockets 
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron.
", 1 Review 
9,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Legend Jacket,Core: Black,$198,"Ready to take the #1 spot in your closet. The Legend Jacket is a lightweight, wear-on-repeat look for he, she & they, featuring memory woven fabric with light fill, sleek nylon lining, a front zipper with snaps, an iconic collar & front pocket. A round, shoelace drawcord at the bottom, a back locker loop, cinched cuffs and zippered pockets complete the look. Wear it solo or as a head-to-toe statement with the Legend Snap Pant.","
Relaxed, roomy fit
The garment is a designed for a loose fit — size down for a more fitted silhouette.
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cool memory woven fabric & light fill
Collared look with cinched cuffs & front pocket
", 1 Review 
10,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Stride Jacket,Olive Branch Camouflage,$188,"Gear up and go in the street-ready Stride Jacket. It has a sleek, lightweight fabrication, camo print, side-zip pockets and open pockets at front. An adjustable bungee waist and elastic cuffs help lock in heat, so you can stay comfortable to-and-from.  ","
Lightweight
Side-zip pockets
Open envelope pockets
Adjustable bungee waist
","
DWR printed silky woven
Machine wash cold with like colors. Tumble dry low, low iron, do not dry clean.
", 5 Reviews 
11,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Legend Jacket,Core: Bone,$198,"Ready to take the #1 spot in your closet. The Legend Jacket is a lightweight, wear-on-repeat look for he, she & they, featuring memory woven fabric with light fill, sleek nylon lining, a front zipper with snaps, an iconic collar & front pocket. A round, shoelace drawcord at the bottom, a back locker loop, cinched cuffs and zippered pockets complete the look. Wear it solo or as a head-to-toe statement with the Legend Snap Pant.","
Relaxed, roomy fit
The garment is a designed for a loose fit — size down for a more fitted silhouette.
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Cool memory woven fabric & light fill
Collared look with cinched cuffs & front pocket
Machine wash separately on cold, gentle cycle. Tumble dry low; low iron. Do not dry clean.
", 5 Reviews 
12,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Sherpa Stage Puffer,Black,$228,"The moment temps begin to drop, reach for the Sherpa Stage Puffer. It’s an ultra-warm, structured puffer jacket fully lined in our cozy, premium sherpa fabric, with a full-zip closure and zippered  side pockets that keeps hands warmly insulated. Complete with a tall, stand-up collar, bundling up in this textured, fleecy favorite has never felt better.","
Oversized fit
Tall, stand-up collar
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Ultra-warm corduroy fabric
100% Polyester fill
Full zip closure with zippered side pocketsMachine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron.
", 16 Reviews 
13,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Oversized Sherpa Trench,Black,$298,"Sherpa & trench — a match for the ages. The full-length, classic trench silhouette gets reinvented for right now in our cozy, coveted sherpa, with an open front and zippered pockets to keep your stuff safe en route to-and-from.","
Full length & open front
Relaxed fit for easy layering
The garment is designed for a loose fit — size down for a more fitted silhouette
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Plush sherpa (faux fur)
Open front & zippered, side-entry welt pockets
Wash separately. Machine wash cold & tumble dry on gentle cycle or dry clean. Low iron.
", 6 Reviews 
14,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Corduroy Stage Puffer,Core: Black,$248,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation.","
Oversized fit
Tall, stand-up collar
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Ultra-warm corduroy fabric
100% Polyester fill
Full zip closure with zippered side pockets
Machine wash cold with like colors. Tumble dry low; low iron. Do not dry clean.
", 11 Reviews 
15,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Ripstop 1/4 Zip On-Set Jacket,Core: Black,$148,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms.","
Relaxed fit
Raglan sleeve & stand up collar 
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Street-ready, water-resistant ripstop 
Zips to midsection 
Cuffed sleeves
Bungee drawcord closure
Lined with athletic mesh
Machine wash cold on gentle cycle, with like colors. Hang to dry; warm iron if needed. Do not dry clean.
", 25 Reviews 
16,"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b2_s3_a1_m142_750x.jpg?v=1679337267']",Stretch Woven Street Puffer,Core: Black,$228,"Don’t let the cool weather hold you back. The Stretch Woven Street Puffer is equipped to handle changing temps with a warm-and-cozy lightweight body, front full-zip closure, handy pockets and a street-ready fit. Layer it over a long sleeve or hoodie and get moving.","
Oversized fit  
Full-length  
Model is 6’2” tall, with 39” chest & 32” waist — he wears size M.
","
Water-resistant, ripstop puffer with light fill 
Zippered front pockets 
Internal zip pocket 
Elastic cuffs and hem 
Machine wash separately on cold, gentle cycle. Tumble dry low, gentle cycle. Low iron. Do not dry clean.
", 5 Reviews 
